Design,ObsPrev,Target,MedianBias,Variance
NS1,0.10069066666666666,95,0.17100660707345838,7.6524371389116475
NS2,0.10069066666666666,95,0.1219512195121979,5.98988689575218
NS4,0.10069066666666666,95,0.25684289463816157,11.151775630223156
NS1,0.10075283333333333,80,0.2631578947368354,34.30223516666173
NS2,0.10075283333333333,80,0.2083333333333286,32.66858838960271
NS4,0.10075283333333333,80,0.5825242718446617,46.178574751116074
NS1,0.353255,80,0,7.140798218246369
NS2,0.353255,80,-0.02442093461510808,6.856020842849181
NS4,0.353255,80,0,9.101472118611252
NS1,0.3533808333333333,95,0.015576323987545493,1.1126429637456268
NS2,0.3533808333333333,95,-0.011933174224353138,0.9456062074964733
NS4,0.3533808333333333,95,0.03875968992248602,1.581367917824547
